text,label
"I can't focus because I'm so tired",negative
"I'm dreading the group presentation tomorrow",negative
"I feel down because I got a low score",negative
"I'm struggling to keep up with my readings",negative
"I feel like crying because of all this stress",negative
"I'm worried about my final grades this term",negative
"I feel pressured to perform well in front of others",negative
"I can't stop thinking about my unfinished tasks",negative
"I feel mentally drained after a long day of classes",negative
"I'm afraid I might disappoint my parents with my grades",negative
"I feel so tired I can barely keep my eyes open",negative
"I'm frustrated because my computer crashed and I lost my work",negative
"I feel anxious every time I have to speak in class",negative
"I'm sad because my groupmates left all the work to me",negative
"I feel like I'm always running out of time",negative
"I'm stressed about juggling school and personal problems",negative
"I feel discouraged after getting low feedback on my paper",negative
"I'm worried I won't finish my thesis on time",negative
"I feel anxious about the upcoming oral exam",negative
"I'm tired of pulling all-nighters just to meet deadlines",negative
"I feel like I'm falling behind in my studies",negative
"I'm upset because I missed an important deadline",negative
"I feel nervous about my upcoming defense",negative
"I'm overwhelmed by the amount of readings this week",negative
"I feel guilty for not studying enough today",negative
"I'm worried about disappointing my adviser",negative
"I feel like everything is piling up at once",negative
"I'm scared of failing this major exam",negative
"I feel emotionally exhausted from school stress",negative
"I don't know where to start with all of this",negative
"there's too many things to do and I don't know where to begin",negative
"I'm so behind on everything, it's overwhelming",negative
"I feel like I can't catch up no matter how hard I try",negative
"nothing is going right for me at school lately",negative
"I feel stuck and I don't know how to move forward",negative
"I'm so tired of feeling like I'm not enough",negative
"I keep procrastinating because everything feels impossible",negative
"I have a meeting with my adviser tomorrow at 10am",neutral
"My class starts at 8 in the morning",neutral
"I need to submit my assignment by Friday",neutral
"The library is open until 6pm today",neutral
"I have three subjects this semester",neutral
"Our group will meet later to discuss the project",neutral
"I am currently reading the course syllabus",neutral
"The professor will give the exam schedule tomorrow",neutral
"I need to print my documents for submission",neutral
"Our school has an event next week",neutral
"I have to attend a seminar this afternoon",neutral
"The assignment instructions are posted online",neutral
"I am taking notes during the lecture",neutral
"Classes will resume after the break",neutral
"I need to check my grades on the portal",neutral
"The meeting was moved to next Monday",neutral
"I am preparing my materials for the presentation",neutral
"Our professor uploaded the lecture slides",neutral
"I will go to the library to study later",neutral
"The exam will cover chapters one to five",neutral
"I have to revise my thesis chapter again",neutral
"I am waiting for my professor's feedback",neutral
"The deadline for the report is next week",neutral
"I just woke up and I'm getting ready for class",neutral
"I'm reviewing my notes before the quiz",neutral
"The class schedule has been updated on the portal",neutral
"I need to bring my laptop for tomorrow's activity",neutral
"Our adviser asked us to submit a progress report",neutral
"The exam venue was changed to room 204",neutral
"I am organizing my files for the school requirements",neutral
"The professor announced the topics for next week",neutral
"I need to attend the orientation tomorrow",neutral
"Our group chat has the updated schedule",neutral
"I am downloading the reading materials for class",neutral
"The school will be closed on Friday for a holiday",neutral
"I have to photocopy some documents before class",neutral
"The online class link was sent through email",neutral
"I need to register for next semester's subjects",neutral
"Our project proposal is due next month",neutral
"The professor will discuss grading criteria tomorrow",neutral
"I am checking the requirements for enrollment",neutral
"The school bulletin posted the exam schedule",neutral
"I have a group study session this evening",neutral
"The laboratory class will be held in room 301",neutral
"I need to update my student information form",neutral
"Our class was rescheduled to next week",neutral
"I am preparing my portfolio for submission",neutral
"The professor will be on leave next week",neutral
"I have to attend a webinar for extra credit",neutral
"hi",neutral
"hello",neutral
"hey there",neutral
"what's up",neutral
"okay",neutral
"I see",neutral
"thanks",neutral
"alright",neutral
"noted",neutral
"sure",neutral
"grabe sobrang dami kong requirements ngayon",negative
"di ko na kaya yung workload namin",negative
"sobrang pagod na ako huhu",negative
"naubos na lakas ko sa school",negative
"nakakaloka yung daming deadlines",negative
"praning na ako sa thesis",negative
"walang gana pumunta ng klase",negative
"lutang na lutang na ako",negative
"lugmok na ako sa requirements",negative
"kinakabahan ako sa presentation",negative
"nakakastress yung group project namin",negative
"nakakainis yung groupmates ko",negative
"naiiyak na ko sa stress",negative
"nag-iisa ako ngayon pagod na pagod",negative
"wala sa mood mag-aral ngayon",negative
"sobrang hirap ng subject na to",negative
"down bad talaga ako ngayon sa school",negative
"in my feels dahil sa grades ko",negative
"crying rn kasi bumagsak ako sa quiz",negative
"i'm so done with all these requirements fr",negative
"burnout na talaga ako no cap",negative
"brain rot na ko sa daming readings",negative
"fml bumagsak na naman ako sa exam",negative
"help grabe yung deadline bukas",negative
"ngl super overwhelmed ako ngayon",negative
"at this point di na ko makakaraos",negative
"😭😭 grabe yung daming requirements",negative
"sobrang pagod 😩 di na ko makahinga",negative
"😰 kinakabahan talaga ako sa finals",negative
"💀 patay na ako sa requirements",negative
"T_T di ko na talaga kaya",negative
"huhu nawala yung files ko 😭",negative
">_< super stressed sa thesis defense",negative
"grabe yung professor namin 😤 sobrang hirap",negative
"fml 😵 so many things to do so little time",negative
"petmalu yung score ko ngayon!",positive
"slay talaga yung presentation namin",positive
"kaya ko to laban lang",positive
"todo effort kami ngayon nakaktuwa",positive
"sana ol ang ganda ng group ko",positive
"werpa yung team namin grabe",positive
"nailed it sa recitation today yay",positive
"masaya ako kasi pumasa ako 🎉",positive
"yesss finally tapos na yung thesis 🏆",positive
"sobrang saya ko ngayon 😊",positive
"lodi talaga yung professor namin napaka-helpful",positive
"feeling main character ngayon after acing the exam",positive
"slayed yung defense ko today no cap",positive
"understood the assignment sa project namin",positive
"ate that presentation fr fr",positive
"kaya natin to laban",positive
"🔥 grabe yung score ko",positive
"😁 finally tapos na yung requirements",positive
"💪 motivated na ako ulit mag-aral",positive
"🥳 passed all my subjects sana ol ang sarap",positive
"✨ feeling refreshed after a good rest",positive
"vibing lang ngayon wala namang problema",neutral
"may meeting kami ng group bukas",neutral
"keri lang yung schedule ngayon",neutral
"oks lang basta matatapos rin",neutral
"checking lang ng grades sa portal",neutral
"it is what it is gagawin ko na lang",neutral
"mid yung seminar kanina pero okay",neutral
"rn nag-aaral lang ako for the quiz",neutral
"I passed the exam :)",positive
"finally done with my report :))",positive
"^_^ feeling great today",positive
"yay!! we won the competition :)",positive
"<3 grateful for my friends today",positive
"sobrang saya ko ngayon ^_^",positive
":D today was such a good day",positive
"proud of myself for finishing early :)",positive
"ate that recitation :))",positive
"I failed my exam :(",negative
"so tired of everything :((",negative
"T_T I can't do this anymore",negative
"T___T everything is falling apart",negative
"t.t di ko na kaya",negative
">_< sobrang stress ko sa project",negative
"-_- this day cannot get any worse",negative
"QQ wala akong oras matulog",negative
"Q_Q hindi ko na kaya itong workload",negative
":'( I just want to give up",negative
"</3 feeling so alone right now",negative
"u_u wala akong gana gawin kahit ano",negative
":( I think I bombed my recitation",negative
"huhuhu ang dami pa nilang gagawin",negative
"T _ T sobrang hirap ng exam namin",negative
":-( everything feels too much today",negative
"meeting at 3pm :)",neutral
"see you later :)",neutral
"okay noted -_-",neutral
"sure, I'll check the schedule",neutral
":| just another regular day",neutral
